Glyma.01G036000,2252,1,2
Glyma.01G036100,874,1,0
Glyma.01G036200,20411,4,2
Glyma.01G036300,676,1,1
Glyma.01G036400,221,1,2
Glyma.01G036500,4477,3,2
Glyma.01G036600,1199,1,1
Glyma.01G036700,7310,3,2
Glyma.01G036800,1866,1,2
Glyma.01G036900,1811,1,0
Glyma.01G037000,353,1,0
Glyma.01G037100,1373,1,1
Glyma.01G037200,1785,1,2
Glyma.01G037300,4640,1,0
Glyma.01G037400,4366,1,1
Glyma.01G037500,1546,1,2
Glyma.01G037600,3152,1,2
Glyma.01G037700,5366,7,2
Glyma.01G037800,1508,1,2
Glyma.01G037900,2200,1,2
Glyma.01G038000,5418,1,0
Glyma.01G038100,7564,1,1
Glyma.01G038200,661,1,0
Glyma.01G038300,12623,2,0
Glyma.01G038400,4532,1,2
Glyma.01G038500,2451,1,2
Glyma.01G038600,2707,1,2
Glyma.01G038700,3974,2,2
Glyma.01G038800,4318,2,2
Glyma.01G038900,2605,1,1
Glyma.01G039000,8915,2,1
Glyma.01G039100,2116,1,2
Glyma.01G039200,3860,2,3
Glyma.01G039300,1414,1,0
Glyma.01G039400,4462,2,2
Glyma.01G039500,6243,3,2
Glyma.01G039600,2512,1,1
Glyma.01G039700,5546,1,2
Glyma.01G039800,4905,1,0
Glyma.01G039900,1797,1,2
Glyma.01G040000,1822,1,0
Glyma.01G040100,1360,1,0
Glyma.01G040200,1609,1,2
Glyma.01G040300,5916,2,2
Glyma.01G040400,9011,1,2
Glyma.01G040500,2203,1,1
Glyma.01G040600,2613,1,2
Glyma.01G040700,1299,1,2
Glyma.01G040800,188,1,0
Glyma.01G040900,5496,2,0
Glyma.01G041000,197,1,0
Glyma.01G041100,1030,1,2
Glyma.01G041200,1449,1,2
Glyma.01G041300,6083,1,2
Glyma.01G041400,4593,1,2
Glyma.01G041500,5711,2,2
Glyma.01G041600,5849,1,2
Glyma.01G041700,2625,2,2
Glyma.01G041800,392,1,0
Glyma.01G041900,2432,1,0
Glyma.01G042000,262,1,0
Glyma.01G042100,6580,2,0
Glyma.01G042200,2354,1,0
Glyma.01G042300,4890,6,2
Glyma.01G042400,4261,5,2
Glyma.01G042500,3651,1,0
Glyma.01G042600,2697,1,0
