Phvul.007G113900  Phvul.003G122800  Phvul.001G132400  Phvul.004G078300  Phvul.004G109100  Phvul.005G066300  Phvul.003G065500  Phvul.007G133900  Phvul.005G064000  Phvul.002G118700  Phvul.007G142300  Phvul.008G175400 ,12
Phvul.010G054900  Phvul.010G074900  Phvul.001G104900  Phvul.003G096000  Phvul.010G056700  Phvul.007G165000  Phvul.010G069900  Phvul.010G047200  Phvul.010G055000  Phvul.006G141300  Phvul.005G086800  Phvul.008G149100 ,12
Phvul.008G101400  Phvul.010G078700  Phvul.002G198900  Phvul.001G152700  Phvul.011G184000  Phvul.005G131700  Phvul.007G156800  Phvul.010G072600  Phvul.010G087400  Phvul.009G011500  Phvul.011G108300 ,11
Phvul.001G265100  Phvul.003G159000  Phvul.004G062200  Phvul.006G052100  Phvul.001G264800  Phvul.002G276000  Phvul.001G264900  Phvul.006G051600  Phvul.004G062300  Phvul.006G051800 ,10
Phvul.003G109800  Phvul.003G109500  Phvul.003G109200  Phvul.003G109300  Phvul.003G109400  Phvul.003G109600  Phvul.002G209500  Phvul.002G209400  Phvul.003G109900  Phvul.003G109100 ,10
Phvul.003G099400  Phvul.001G118500  Phvul.009G005600  Phvul.005G103000  Phvul.001G122700  Phvul.006G002800  Phvul.010G074100  Phvul.L002500  Phvul.007G108700  Phvul.010G051400 ,10
Phvul.009G259500  Phvul.009G259300  Phvul.009G259000  Phvul.009G258800  Phvul.009G259200  Phvul.009G259100  Phvul.009G258700  Phvul.009G258900  Phvul.L008600 ,9
Phvul.004G061300  Phvul.004G061600  Phvul.004G060700  Phvul.004G060500  Phvul.004G061500  Phvul.004G061000  Phvul.004G061100  Phvul.004G060900  Phvul.004G060600 ,9
Phvul.004G053900  Phvul.003G069400  Phvul.001G168600  Phvul.009G122000  Phvul.002G149100  Phvul.001G156300  Phvul.007G151400  Phvul.003G065800  Phvul.003G058500 ,9
Phvul.008G246500  Phvul.008G247000  Phvul.008G247200  Phvul.008G245100  Phvul.008G245200  Phvul.008G247300  Phvul.008G244900  Phvul.008G246800 ,8
Phvul.002G200600  Phvul.002G199700  Phvul.002G200700  Phvul.002G200200  Phvul.002G200800  Phvul.002G200400  Phvul.002G200100  Phvul.002G200000 ,8
Phvul.008G067200  Phvul.008G069600  Phvul.008G067000  Phvul.008G066700  Phvul.008G066800  Phvul.008G066600  Phvul.008G066900  Phvul.008G067100 ,8
Phvul.005G028300  Phvul.005G027800  Phvul.005G027900  Phvul.009G017600  Phvul.005G028200  Phvul.005G027700  Phvul.005G028000  Phvul.005G028100 ,8
Phvul.004G110600  Phvul.004G111100  Phvul.004G111000  Phvul.004G110300  Phvul.004G110700  Phvul.004G110800  Phvul.004G110500  Phvul.004G110900 ,8
Phvul.007G097600  Phvul.007G098100  Phvul.007G097700  Phvul.007G097800  Phvul.011G178300  Phvul.007G097900  Phvul.011G178200  Phvul.011G178500 ,8
Phvul.004G004400  Phvul.004G004200  Phvul.004G004300  Phvul.004G004500  Phvul.004G010200  Phvul.004G003800  Phvul.004G003500  Phvul.007G112600 ,8
Phvul.002G232500  Phvul.002G214200  Phvul.008G032300  Phvul.004G102600  Phvul.004G102300  Phvul.004G102400  Phvul.004G102200  Phvul.008G104200 ,8
Phvul.005G163000  Phvul.005G163800  Phvul.005G162600  Phvul.005G164000  Phvul.005G164100  Phvul.005G163900  Phvul.005G164500 ,7
Phvul.001G049000  Phvul.001G048600  Phvul.001G048800  Phvul.001G048900  Phvul.001G047900  Phvul.001G048200  Phvul.001G049100 ,7
Phvul.011G173200  Phvul.004G021900  Phvul.004G022000  Phvul.004G021600  Phvul.004G021800  Phvul.004G021700  Phvul.004G021500 ,7
Phvul.011G143300  Phvul.011G143700  Phvul.011G143100  Phvul.011G143600  Phvul.011G144200  Phvul.011G143500  Phvul.011G144100 ,7
Phvul.010G035700  Phvul.010G017500  Phvul.010G017900  Phvul.010G022500  Phvul.010G022300  Phvul.009G165400  Phvul.010G018100 ,7
Phvul.001G109800  Phvul.007G143500  Phvul.005G096800  Phvul.001G105000  Phvul.006G016100  Phvul.010G059600  Phvul.005G095200 ,7
Phvul.005G139600  Phvul.011G069700  Phvul.008G263800  Phvul.001G169200  Phvul.006G066300  Phvul.006G066400  Phvul.003G145900 ,7
Phvul.004G164100  Phvul.004G164200  Phvul.004G164300  Phvul.004G164400  Phvul.004G167900  Phvul.004G167000  Phvul.004G167700 ,7
Phvul.008G121500  Phvul.008G121800  Phvul.008G121700  Phvul.008G121400  Phvul.008G121600  Phvul.008G121900  Phvul.008G122000 ,7
Phvul.007G058700  Phvul.007G058900  Phvul.007G059000  Phvul.007G059100  Phvul.001G126900  Phvul.007G059200  Phvul.007G059600 ,7
Phvul.004G140800  Phvul.004G140100  Phvul.004G139700  Phvul.004G139800  Phvul.004G139900  Phvul.004G140700 ,6
Phvul.011G175200  Phvul.011G151900  Phvul.011G175000  Phvul.011G175700  Phvul.011G176400  Phvul.011G175600 ,6
Phvul.007G170700  Phvul.002G124400  Phvul.011G089700  Phvul.007G122800  Phvul.011G130000  Phvul.004G083800 ,6
Phvul.002G154700  Phvul.002G154500  Phvul.004G093000  Phvul.004G091600  Phvul.004G093200  Phvul.004G092600 ,6
Phvul.011G057200  Phvul.011G187100  Phvul.008G033700  Phvul.002G269300  Phvul.002G269200  Phvul.003G073800 ,6
Phvul.008G065200  Phvul.002G081800  Phvul.002G081900  Phvul.008G065100  Phvul.008G064900  Phvul.008G065000 ,6
Phvul.004G009100  Phvul.004G066200  Phvul.004G015900  Phvul.004G076100  Phvul.011G195900  Phvul.010G004800 ,6
Phvul.003G032600  Phvul.003G057100  Phvul.007G027800  Phvul.007G241700  Phvul.010G025600  Phvul.007G129600 ,6
Phvul.002G068800  Phvul.001G067900  Phvul.004G102000  Phvul.009G078200  Phvul.003G031100  Phvul.003G104300 ,6
